token,count,coverage_percent
988101,2,0.00
8224845,2,0.00
hhgg,2,0.00
3822716,2,0.00
317498672,2,0.00
hhua,2,0.00
hemuhua,2,0.00
gujinhai,2,0.00
gujinhai123,2,0.00
qiaoya,2,0.00
19910313,2,0.00
919834724,2,0.00
qiuziqi,2,0.00
7087484,2,0.00
tianjiajun,2,0.00
1028415,2,0.00
weason,2,0.00
030424,2,0.00
xiaomonv,2,0.00
521688,2,0.00
syzy,2,0.00
bnuxm,2,0.00
tianjunjie,2,0.00
923289638,2,0.00
20051014,2,0.00
haizeiwangbt,2,0.00
10kgame,2,0.00
kgame,2,0.00
7237788,2,0.00
lujunfeng,2,0.00
20072260,2,0.00
410410,2,0.00
lhll,2,0.00
fucong,2,0.00
saqirihu,2,0.00
beyondye,2,0.00
987364,2,0.00
8116,2,0.00
5369,2,0.00
3232521,2,0.00
365889,2,0.00
langbo,2,0.00
840109,2,0.00
junling,2,0.00
fffqqq,2,0.00
8221218,2,0.00
wulina,2,0.00
888258,2,0.00
abxyz,2,0.00
zybcaa,2,0.00
lihf,2,0.00
qxn,2,0.00
adachi,2,0.00
ssmtw,2,0.00
mor,2,0.00
jiasuqi,2,0.00
shiyangai,2,0.00
jianglan,2,0.00
huanggui,2,0.00
3263839,2,0.00
icelee,2,0.00
fae,2,0.00
wujackson,2,0.00
liouvill,2,0.00
panghui,2,0.00
redby,2,0.00
hushuhan,2,0.00
6547888,2,0.00
liuyuanfeng,2,0.00
zulinfi,2,0.00
1983331,2,0.00
771105,2,0.00
80125,2,0.00
19780320,2,0.00
shxd,2,0.00
5082,2,0.00
527532113,2,0.00
qqsc,2,0.00
lanmeijian,2,0.00
hliang,2,0.00
ucs,2,0.00
netpet,2,0.00
madcat,2,0.00
19820921,2,0.00
3054978,2,0.00
13091030,2,0.00
38799043,2,0.00
zhuwenjun,2,0.00
monmon,2,0.00
593805,2,0.00
2123841,2,0.00
zengliang59,2,0.00
wangshibao,2,0.00
juq,2,0.00
jiddij,2,0.00
huojing,2,0.00
1231512358,2,0.00
137993462,2,0.00
libingqi,2,0.00
88891,2,0.00
564951229,2,0.00
51007,2,0.00
zhaoxhcqupt,2,0.00
kongshuilong,2,0.00
wuweijia,2,0.00
0381,2,0.00
348994295,2,0.00
zhoujincheng,2,0.00
wswxx,2,0.00
stevenbug,2,0.00
yuzeyang,2,0.00
hyh19911012,2,0.00
liwenyi,2,0.00
105203963,2,0.00
jshyxfma,2,0.00
balkyd,2,0.00
128616,2,0.00
qiujixiang,2,0.00
199405,2,0.00
liangy,2,0.00
ilovgame,2,0.00
1980929,2,0.00
hlv,2,0.00
qianglong,2,0.00
kytsxy,2,0.00
5266485,2,0.00
ailanger,2,0.00
19900705,2,0.00
6406694,2,0.00
anshun,2,0.00
amary,2,0.00
konglei,2,0.00
ddcs,2,0.00
mache,2,0.00
bornike,2,0.00
yunaaaaaaa,2,0.00
1983318,2,0.00
heqinglin,2,0.00
lspp,2,0.00
lspp1114,2,0.00
apon,2,0.00
9shuai,2,0.00
starzhang,2,0.00
xochenjin,2,0.00
weijc,2,0.00
maxinyue,2,0.00
851320,2,0.00
2sl,2,0.00
killelin,2,0.00
0661,2,0.00
2867,2,0.00
122131,2,0.00
850327,2,0.00
cpmoffice,2,0.00
546606609,2,0.00
sunyaodong,2,0.00
3774,2,0.00
9874123,2,0.00
sanguoyouxi,2,0.00
329825692,2,0.00
lunwendaily,2,0.00
348999584,2,0.00
330127,2,0.00
jianglang,2,0.00
1989711,2,0.00
19840905,2,0.00
masterdem,2,0.00
daibinxiang,2,0.00
19940821,2,0.00
3854976,2,0.00
lanxian,2,0.00
zhangyufen,2,0.00
1368424657,2,0.00
yunsheng,2,0.00
bahema,2,0.00
ttss,2,0.00
liuqiangxu,2,0.00
308611305,2,0.00
wjxwjx,2,0.00
779779,2,0.00
shijf,2,0.00
87902407,2,0.00
tjianpeng,2,0.00
ttangmin,2,0.00
jiangwenfeng,2,0.00
lxsong,2,0.00
83896,2,0.00
qinye,2,0.00
faintsjb,2,0.00
6481551,2,0.00
lovejie,2,0.00
maxiaobao22,2,0.00
maxiaobao,2,0.00
wodeyouxiang,2,0.00
benbenniao,2,0.00
mafang,2,0.00
567551,2,0.00
08008,2,0.00
dackjing,2,0.00
goodidea,2,0.00
liyayun,2,0.00
tflc,2,0.00
osa,2,0.00
88325,2,0.00
ming121121,2,0.00
123578,2,0.00
yindm,2,0.00
huosai,2,0.00
012879,2,0.00
actor,2,0.00
lxstar,2,0.00
puzhengzhou,2,0.00
7578094,2,0.00
ilsd,2,0.00
zhaoyufeng,2,0.00
821975,2,0.00
159029,2,0.00
224310,2,0.00
liuhaiwei,2,0.00
laiyuanwei,2,0.00
19830606,2,0.00
67252408,2,0.00
xavi,2,0.00
11224,2,0.00
tenghai,2,0.00
neko,2,0.00
191131029,2,0.00
771006,2,0.00
dank,2,0.00
qtone,2,0.00
guohe,2,0.00
651071674,2,0.00
020201,2,0.00
cococ,2,0.00
918819,2,0.00
liaifang,2,0.00
everlyq,2,0.00
198532,2,0.00
shuizhongyu,2,0.00
guoxutao,2,0.00
gezp,2,0.00
awolf,2,0.00
jackjia1234,2,0.00
xiejianjie,2,0.00
88891885,2,0.00
nhg,2,0.00
547237715,2,0.00
liuzx,2,0.00
8206343,2,0.00
03042208,2,0.00
523313,2,0.00
cnzjsml,2,0.00
oulei,2,0.00
650301,2,0.00
amwiawid,2,0.00
421521,2,0.00
502030,2,0.00
vinicrane,2,0.00
791211,2,0.00
675873374,2,0.00
0607020211,2,0.00
wangbolove,2,0.00
6859,2,0.00
chenpy,2,0.00
yuyuke,2,0.00
3349,2,0.00
zhaoxm,2,0.00
36981166,2,0.00
lschenjin,2,0.00
huzhaoyang,2,0.00
gggukh,2,0.00
ramia,2,0.00
397632929,2,0.00
cqlrk,2,0.00
87812152,2,0.00
liguoli,2,0.00
30702,2,0.00
aduchao,2,0.00
8565396,2,0.00
zhaiyuguo,2,0.00
wangxingchao,2,0.00
lyj1987612,2,0.00
gattuso,2,0.00
huiyun,2,0.00
ruiyoua,2,0.00
lisaosao,2,0.00
057032,2,0.00
040306,2,0.00
wangmao,2,0.00
1987721,2,0.00
xzzd,2,0.00
201101,2,0.00
slywz,2,0.00
574856218,2,0.00
linranfeng,2,0.00
6253358,2,0.00
dien,2,0.00
0290,2,0.00
15212162596,2,0.00
wd15212162596,2,0.00
zhuyulin,2,0.00
1303289,2,0.00
354493551,2,0.00
ksky,2,0.00
543221947,2,0.00
maigan,2,0.00
bhxbhx,2,0.00
53813186,2,0.00
zhangziyue,2,0.00
494296101,2,0.00
luj,2,0.00
60252616,2,0.00
babylon,2,0.00
huangyuxin,2,0.00
198557,2,0.00
longzhe,2,0.00
591570264,2,0.00
figolf,2,0.00
3521758,2,0.00
dygf,2,0.00
1992323,2,0.00
jybl,2,0.00
chenyc,2,0.00
zhengxihong,2,0.00
52033,2,0.00
4769,2,0.00
litianyu,2,0.00
qdcww,2,0.00
jren,2,0.00
qiuzheng,2,0.00
770612,2,0.00
chxch,2,0.00
87590916,2,0.00
irene19891104,2,0.00
197368,2,0.00
gcyin,2,0.00
generallv,2,0.00
gucheng,2,0.00
8254480,2,0.00
manliangy,2,0.00
xujy,2,0.00
xueyongxin,2,0.00
supermap,2,0.00
5426,2,0.00
2159451,2,0.00
heritrix,2,0.00
407131300,2,0.00
yuanxiaoyan,2,0.00
lizhenglian,2,0.00
sequoia,2,0.00
yxzaini,2,0.00
panan,2,0.00
linkinpark,2,0.00
ojkcese,2,0.00
keguangli,2,0.00
780510,2,0.00
153123,2,0.00
enzeer,2,0.00
toefl,2,0.00
guangwen,2,0.00
nvren,2,0.00
666121,2,0.00
12334567,2,0.00
xiefan,2,0.00
dianti,2,0.00
liujianyu,2,0.00
sundongya,2,0.00
lianlei,2,0.00
200750669,2,0.00
bbdd,2,0.00
521814,2,0.00
yzlz,2,0.00
198221,2,0.00
12568,2,0.00
ifulleryou,2,0.00
vcxzvcx,2,0.00
84920,2,0.00
75154157,2,0.00
andycl,2,0.00
3890923,2,0.00
xiaoru,2,0.00
19981,2,0.00
lei19981,2,0.00
shilc,2,0.00
linju,2,0.00
mantxx,2,0.00
xinheng,2,0.00
137714562,2,0.00
66076485,2,0.00
mingshu,2,0.00
xuechaoling,2,0.00
4067,2,0.00
20020204,2,0.00
conghua,2,0.00
zwu,2,0.00
haole,2,0.00
112425,2,0.00
sevenlove88,2,0.00
sevenlove,2,0.00
guozhuo,2,0.00
techie,2,0.00
woaizhuo,2,0.00
19741029,2,0.00
hudqing,2,0.00
grp,2,0.00
16992391,2,0.00
83892420,2,0.00
liumu,2,0.00
724123,2,0.00
zhishan99,2,0.00
701103,2,0.00
3522,2,0.00
19831027,2,0.00
88919,2,0.00
yaoyao1228,2,0.00
jli,2,0.00
huzhe,2,0.00
sanmen,2,0.00
139136,2,0.00
liyunzhen,2,0.00
6235019,2,0.00
sujiajia,2,0.00
lkzx,2,0.00
popopopo,2,0.00
against,2,0.00
guozeyan,2,0.00
hymu,2,0.00
910919,2,0.00
yangshixue,2,0.00
chxyou,2,0.00
hedo,2,0.00
740825,2,0.00
ailijiao,2,0.00
woaibeibei,2,0.00
524524,2,0.00
leis,2,0.00
xuedaoming,2,0.00
wsxph,2,0.00
duanleibin,2,0.00
740909,2,0.00
espacio,2,0.00
296842912,2,0.00
5465,2,0.00
819705,2,0.00
zhangrp,2,0.00
our,2,0.00
449251212,2,0.00
huzhiwei,2,0.00
13806944,2,0.00
62701025,2,0.00
9310,2,0.00
9177,2,0.00
qiumeng,2,0.00
zseric,2,0.00
3864555,2,0.00
324106,2,0.00
zhaoxuxing,2,0.00
xzcl,2,0.00
fred2010,2,0.00
84385654,2,0.00
tangyaolan,2,0.00
6791180,2,0.00
bbsky,2,0.00
570520,2,0.00
backer,2,0.00
maldini,2,0.00
8338,2,0.00
88813,2,0.00
leijie88813,2,0.00
6385,2,0.00
chocho,2,0.00
painting,2,0.00
66289214,2,0.00
359421,2,0.00
virgin,2,0.00
13815505827,2,0.00
zhangzan,2,0.00
1054,2,0.00
ranxiaoxu,2,0.00
1077,2,0.00
kakarott,2,0.00
234009652,2,0.00
heqiu,2,0.00
duanziyu,2,0.00
shanwen,2,0.00
1981115,2,0.00
tizheng,2,0.00
kayin,2,0.00
123999,2,0.00
guiyuhua,2,0.00
20070508,2,0.00
xuxiaoqi,2,0.00
haobohuiying,2,0.00
nuleiice,2,0.00
adventure,2,0.00
1231314,2,0.00
012530,2,0.00
19951004,2,0.00
671109,2,0.00
cmfy,2,0.00
mashizun,2,0.00
247889628,2,0.00
herryyang,2,0.00
19882,2,0.00
fmg,2,0.00
19740207,2,0.00
19920905,2,0.00
wangzhenbing,2,0.00
lyhkmx,2,0.00
zhaoxiangrong,2,0.00
8664568,2,0.00
12989,2,0.00
linzexu,2,0.00
159846,2,0.00
403965847,2,0.00
qdch,2,0.00
17758258,2,0.00
8482697,2,0.00
197722979,2,0.00
19771005,2,0.00
yanzx,2,0.00
magaojie,2,0.00
shophay,2,0.00
bringiton,2,0.00
hutongyan,2,0.00
120426,2,0.00
myjava,2,0.00
areyouok,2,0.00
wenkey,2,0.00
17126001,2,0.00
bandaoti,2,0.00
dengzhuyu,2,0.00
4419,2,0.00
eljay,2,0.00
ljzdlw,2,0.00
1148824209,2,0.00
04081008,2,0.00
sidu,2,0.00
127913,2,0.00
ldjcslg,2,0.00
weiss,2,0.00
5643,2,0.00
kevenshao,2,0.00
wulinag,2,0.00
951111,2,0.00
ranyongle,2,0.00
wangxin871206,2,0.00
1133231,2,0.00
ehui,2,0.00
19850202,2,0.00
3811,2,0.00
lwjcy,2,0.00
20863,2,0.00
cailu,2,0.00
871068,2,0.00
61363737,2,0.00
sunb,2,0.00
477324159,2,0.00
wohaini,2,0.00
19821227,2,0.00
xwzx,2,0.00
bruceking,2,0.00
huangh,2,0.00
roychen,2,0.00
zhanggd,2,0.00
883298,2,0.00
wacb,2,0.00
7765,2,0.00
chenruiziyao,2,0.00
xuhongxin,2,0.00
3854335,2,0.00
zmnwe,2,0.00
baobamboo,2,0.00
81105602,2,0.00
liaopan,2,0.00
zhudezhi,2,0.00
wuxuemei,2,0.00
1984518,2,0.00
haji,2,0.00
waterice,2,0.00
atjj,2,0.00
piaoluo,2,0.00
380999,2,0.00
clkj,2,0.00
libaohua,2,0.00
daibiao,2,0.00
caorange,2,0.00
majindan,2,0.00
liumimi,2,0.00
369755927,2,0.00
shangying,2,0.00
liuwenjing,2,0.00
687095,2,0.00
998998998,2,0.00
1986815,2,0.00
hukun,2,0.00
3824215,2,0.00
200604310126,2,0.00
20921314,2,0.00
liuwanjun,2,0.00
528852,2,0.00
278551796,2,0.00
jiandansky,2,0.00
2dmm,2,0.00
2267475,2,0.00
yangcun,2,0.00
20071000280,2,0.00
65347226,2,0.00
6351532,2,0.00
1005414464,2,0.00
liuqianxue,2,0.00
zhangzs0422,2,0.00
jiangzheng,2,0.00
peihong,2,0.00
850220,2,0.00
wangzichen,2,0.00
199713,2,0.00
xiaoxiaodewo,2,0.00
88812,2,0.00
wom,2,0.00
2653,2,0.00
zlong,2,0.00
mhn,2,0.00
121331,2,0.00
62909587,2,0.00
19850313,2,0.00
tastema,2,0.00
2009121212,2,0.00
670645920,2,0.00
czwjss,2,0.00
lvchuang,2,0.00
198327,2,0.00
285263022,2,0.00
1984007,2,0.00
89015289,2,0.00
chilli,2,0.00
lijun511303,2,0.00
9901228,2,0.00
975888088,2,0.00
ruhuaxin,2,0.00
chenfangaiqixin,2,0.00
cdxy,2,0.00
7175849,2,0.00
513404618,2,0.00
zhaozhimin,2,0.00
lwuquan,2,0.00
302618964,2,0.00
liuwenxin,2,0.00
rangel,2,0.00
jmissj,2,0.00
cyhs,2,0.00
lihonghui,2,0.00
xiaoshitou,2,0.00
sharky,2,0.00
chonger,2,0.00
925913,2,0.00
yangchenxi,2,0.00
haofei,2,0.00
868988,2,0.00
panjunxi,2,0.00
94922,2,0.00
1982627,2,0.00
jiangxinc,2,0.00
aolin,2,0.00
xyyh,2,0.00
zjsw,2,0.00
losky,2,0.00
huangbijun,2,0.00
gxxw,2,0.00
shaoqing,2,0.00
jaker,2,0.00
070608230,2,0.00
bayga,2,0.00
248853994,2,0.00
870711,2,0.00
ribdsiq,2,0.00
chenmzz,2,0.00
276864074,2,0.00
prx,2,0.00
415229,2,0.00
52045,2,0.00
qvb52045,2,0.00
zhouzijian,2,0.00
980830,2,0.00
tangyuzhe,2,0.00
13502,2,0.00
caixin0902,2,0.00
yujiangwei,2,0.00
872669003,2,0.00
wochaonima,2,0.00
1191191,2,0.00
kingfree,2,0.00
513077811,2,0.00
630183258,2,0.00
966187,2,0.00
wang966187,2,0.00
592579669,2,0.00
830221,2,0.00
900812,2,0.00
540679004,2,0.00
weierwei,2,0.00
549891290,2,0.00
mofang,2,0.00
malihong,2,0.00
zhenghaili,2,0.00
yehenyue,2,0.00
2tl,2,0.00
szac,2,0.00
365662480,2,0.00
zygqn,2,0.00
chengxia,2,0.00
810227,2,0.00
yangmian,2,0.00
geyakun,2,0.00
geyakun0830,2,0.00
meiren,2,0.00
wahf,2,0.00
992188489,2,0.00
zjcb,2,0.00
heshuo,2,0.00
yejiade,2,0.00
fag,2,0.00
numbermade,2,0.00
lvhui0817,2,0.00
5314190,2,0.00
fhquan,2,0.00
gengchen,2,0.00
lplblb,2,0.00
173332,2,0.00
56521,2,0.00
70888,2,0.00
zjing,2,0.00
henrybai,2,0.00
627444167,2,0.00
yuxingxing,2,0.00
681214,2,0.00
xuzhenkan,2,0.00
dshx,2,0.00
sandro,2,0.00
470915308,2,0.00
0726026,2,0.00
4677152,2,0.00
fge,2,0.00
liujunning,2,0.00
15050,2,0.00
5614,2,0.00
trustme,2,0.00
songwenjin,2,0.00
qqilovey,2,0.00
liufangcheng,2,0.00
abinart,2,0.00
8841055,2,0.00
rbx,2,0.00
liangsong,2,0.00
1258123,2,0.00
qianduoduo,2,0.00
87885,2,0.00
star87885,2,0.00
2883010,2,0.00
fengyuwuzu,2,0.00
tuhao,2,0.00
qw159263q,2,0.00
51016908,2,0.00
wujiali,2,0.00
21018,2,0.00
810327,2,0.00
stucs,2,0.00
fonelee,2,0.00
fonelee1111,2,0.00
2557,2,0.00
1887,2,0.00
9866,2,0.00
84732944,2,0.00
ross,2,0.00
090906,2,0.00
303410114,2,0.00
53353437,2,0.00
nicolet,2,0.00
rondsny,2,0.00
15083840871,2,0.00
woshilei,2,0.00
8305,2,0.00
lululu,2,0.00
xagaolei,2,0.00
yujicheng,2,0.00
wuxue,2,0.00
ycbaozen,2,0.00
camille,2,0.00
xiaoder,2,0.00
359101290,2,0.00
5689223,2,0.00
xjq5689223,2,0.00
chchomt,2,0.00
1983326,2,0.00
dieyanhehe,2,0.00
jiansen,2,0.00
6wmq,2,0.00
13582,2,0.00
lirenzaishou,2,0.00
fwp,2,0.00
lupl,2,0.00
angelos,2,0.00
angelos66,2,0.00
ludahai,2,0.00
7894561,2,0.00
86966,2,0.00
suian,2,0.00
newstyle,2,0.00
499037868,2,0.00
198653027,2,0.00
5824290,2,0.00
xiongchao,2,0.00
147007,2,0.00
pfh,2,0.00
691020,2,0.00
860627,2,0.00
aiwansi,2,0.00
amwpyegfcu,2,0.00
actionscript,2,0.00
loenxlw,2,0.00
050325,2,0.00
xhkai,2,0.00
2009919,2,0.00
1122334455667788,2,0.00
houjuan,2,0.00
swad,2,0.00
12163,2,0.00
691216,2,0.00
chenguichun,2,0.00
198314,2,0.00
adulto,2,0.00
19800215,2,0.00
jux,2,0.00
windwing,2,0.00
630106,2,0.00
gangao,2,0.00
878823,2,0.00
zzj690820,2,0.00
690820,2,0.00
15834122668,2,0.00
yjch,2,0.00
tuomasi,2,0.00
stupendous,2,0.00
mosha,2,0.00
saxonwjs,2,0.00
24580,2,0.00
sclsy,2,0.00
tanlihua,2,0.00
noel,2,0.00
qinxikui,2,0.00
061212,2,0.00
vmrg,2,0.00
bianjianxin,2,0.00
miaoge,2,0.00
chaw,2,0.00
yjyp,2,0.00
453013800,2,0.00
jingtong,2,0.00
phrock,2,0.00
xtxu,2,0.00
5502,2,0.00
xujingwei,2,0.00
578044594,2,0.00
jianjiandandan,2,0.00
2251,2,0.00
linshiyongxia,2,0.00
721025,2,0.00
720530,2,0.00
zhaolufeng,2,0.00
034127,2,0.00
sqhshuai,2,0.00
madaha,2,0.00
34213,2,0.00
xuxiaoting,2,0.00
568038073,2,0.00
firstlzj,2,0.00
234321615,2,0.00
20091215,2,0.00
lichu,2,0.00
4365142,2,0.00
88625,2,0.00
fand,2,0.00
lilinzhong,2,0.00
liaojing,2,0.00
89927,2,0.00
771030,2,0.00
shironghua,2,0.00
916422,2,0.00
136412,2,0.00
zhengxiaolong,2,0.00
zhenaiwuhui,2,0.00
asher,2,0.00
mayl8822,2,0.00
mayl,2,0.00
cywsky,2,0.00
112232,2,0.00
okbawang,2,0.00
qqttoo,2,0.00
wuyanting,2,0.00
7985789,2,0.00
095230,2,0.00
sunjinbo,2,0.00
789110,2,0.00
2445293,2,0.00
dasda,2,0.00
19843688,2,0.00
kxhui,2,0.00
5201120,2,0.00
majianchao,2,0.00
466803155,2,0.00
arco,2,0.00
jhchen,2,0.00
hkcwf,2,0.00
784146744,2,0.00
yinmengmeng,2,0.00
601101249,2,0.00
huhz,2,0.00
19821211,2,0.00
louemusic,2,0.00
77211022,2,0.00
yanghuixue,2,0.00
chenwei85119,2,0.00
jiangxinlian,2,0.00
caption,2,0.00
chenwenwei,2,0.00
cddragon,2,0.00
289283581,2,0.00
dingjiaqi,2,0.00
8892128,2,0.00
rayson,2,0.00
longe,2,0.00
790709,2,0.00
zwjuanster,2,0.00
7849,2,0.00
yuchengxu,2,0.00
7890025,2,0.00
131931,2,0.00
3293322,2,0.00
343327,2,0.00
yangjun1019,2,0.00
lvhuan,2,0.00
33221,2,0.00
15136672,2,0.00
20090515,2,0.00
cadence,2,0.00
770626487,2,0.00
tea410423,2,0.00
9042,2,0.00
cuimeiling,2,0.00
5911556,2,0.00
fdvsxw,2,0.00
070805,2,0.00
geniuswu,2,0.00
jsdl,2,0.00
maliangjie,2,0.00
52416,2,0.00
primo,2,0.00
gyzh,2,0.00
yansuo,2,0.00
630123,2,0.00
aita,2,0.00
cwly,2,0.00
sofia138627,2,0.00
138627,2,0.00
450025316,2,0.00
ftm,2,0.00
212178,2,0.00
chenrunguang,2,0.00
5981,2,0.00
huowei205,2,0.00
jhjh,2,0.00
muta,2,0.00
kingisking,2,0.00
asfsaf,2,0.00
asfsaf566,2,0.00
zhuwenjin,2,0.00
ydya,2,0.00
520217,2,0.00
suntangtest,2,0.00
hezhong,2,0.00
youjiang,2,0.00
gaoyunfeng,2,0.00
8439789,2,0.00
taona,2,0.00
121614,2,0.00
leipei,2,0.00
liyuanzhen,2,0.00
xhxyzz,2,0.00
shuzhuxia,2,0.00
qqgg,2,0.00
20030101,2,0.00
7336,2,0.00
45420158,2,0.00
songduo,2,0.00
liaoyan,2,0.00
2062262,2,0.00
nts,2,0.00
zhangzhihui,2,0.00
wjjin,2,0.00
wjjin1974,2,0.00
6251,2,0.00
andrewlix,2,0.00
988914,2,0.00
200467,2,0.00
19820729,2,0.00
800908,2,0.00
363263215,2,0.00
13615659564,2,0.00
qiehao,2,0.00
spadea,2,0.00
somnuswety,2,0.00
tans,2,0.00
kansini,2,0.00
gggjian,2,0.00
zongyi,2,0.00
742848007,2,0.00
sblai,2,0.00
4848,2,0.00
02365415325,2,0.00
fangying,2,0.00
2260031,2,0.00
stev,2,0.00
tangmin37,2,0.00
863863,2,0.00
hehongfa,2,0.00
fangjianjun,2,0.00
71920,2,0.00
wfejn,2,0.00
1173984650,2,0.00
2547,2,0.00
442484190,2,0.00
3547110,2,0.00
hjj3547110,2,0.00
woyuzhu,2,0.00
jingaixing,2,0.00
zhuqiyuan,2,0.00
0502600,2,0.00
tb0502600,2,0.00
19920302,2,0.00
taohe,2,0.00
jiashiwei,2,0.00
wangjunqi,2,0.00
luohe,2,0.00
kening6666,2,0.00
liuzhiping,2,0.00
215118,2,0.00
luqiwei,2,0.00
pqc,2,0.00
zcp881015,2,0.00
mhlong,2,0.00
810505,2,0.00
827688786,2,0.00
6875558,2,0.00
164619070,2,0.00
yangyongxin,2,0.00
01470147,2,0.00
cjqlzz,2,0.00
198596,2,0.00
rewoshengqi,2,0.00
cfzc,2,0.00
wuxiuping,2,0.00
yueyy,2,0.00
haowenchen,2,0.00
liujiemo,2,0.00
923129,2,0.00
174465822,2,0.00
wsjpop,2,0.00
dxjktm,2,0.00
lanyao,2,0.00
5323145,2,0.00
zhende,2,0.00
12858,2,0.00
xiatongfei,2,0.00
90126,2,0.00
pwr,2,0.00
baise,2,0.00
19876,2,0.00
daocao,2,0.00
jidi,2,0.00
19770810,2,0.00
chenminpig,2,0.00
jaunt,2,0.00
qkhhfngu,2,0.00
64846499,2,0.00
3788,2,0.00
342137378,2,0.00
broce,2,0.00
370781615,2,0.00
mashuming,2,0.00
zxmzp,2,0.00
1683,2,0.00
chuxia,2,0.00
yeren,2,0.00
dingxiu,2,0.00
9410,2,0.00
wuhk,2,0.00
liurumei,2,0.00
6528238,2,0.00
lbrio,2,0.00
84830175,2,0.00
jiejiejie,2,0.00
yushuo,2,0.00
wpzxianan,2,0.00
5516172,2,0.00
455638704,2,0.00
zyouhua,2,0.00
2355,2,0.00
kinglj,2,0.00
759412144,2,0.00
iitmtd,2,0.00
lihuimin,2,0.00
275031585,2,0.00
wangfeifan,2,0.00
lishiqiang,2,0.00
310114,2,0.00
abcdefghijk,2,0.00
yanshien,2,0.00
xfdsj,2,0.00
maotuo,2,0.00
maotuo1234,2,0.00
daihaifu,2,0.00
liumingfu,2,0.00
26815212,2,0.00
53276,2,0.00
dongbaohua,2,0.00
minghan,2,0.00
784330287,2,0.00
8li,2,0.00
litianqi,2,0.00
monky,2,0.00
mslking,2,0.00
luisfigo,2,0.00
88499622,2,0.00
hsxhn,2,0.00
sasade,2,0.00
6992,2,0.00
dingchaodingchao,2,0.00
handongyyc,2,0.00
muyan,2,0.00
zxljy,2,0.00
yuhaier,2,0.00
mda,2,0.00
6894801,2,0.00
082120,2,0.00
633521,2,0.00
duxiang13,2,0.00
liangfang,2,0.00
hanxuemei,2,0.00
317605112,2,0.00
060106,2,0.00
0762,2,0.00
weicui,2,0.00
aren,2,0.00
544213526,2,0.00
longlin,2,0.00
qiuweijie,2,0.00
xujinwen,2,0.00
g7g25y24x,2,0.00
sunkaijie,2,0.00
guozhiwei,2,0.00
lyceng,2,0.00
850602,2,0.00
idiotqwe,2,0.00
8595,2,0.00
hrong,2,0.00
84336810,2,0.00
4999,2,0.00
wobuxin,2,0.00
260075187,2,0.00
55780525,2,0.00
361577042,2,0.00
wwzy,2,0.00
xujinchao,2,0.00
71414,2,0.00
junma,2,0.00
5973678,2,0.00
04244,2,0.00
wangyuefeng,2,0.00
qiyunfei,2,0.00
tangyuxiaobao,2,0.00
zhaodelin,2,0.00
zhangyilei,2,0.00
szding,2,0.00
gtao,2,0.00
ychf890225,2,0.00
gaiyi,2,0.00
haodouzhe,2,0.00
332839,2,0.00
lvtian,2,0.00
huaishu,2,0.00
lidewen,2,0.00
3885408,2,0.00
gpy,2,0.00
yxxy,2,0.00
3257505,2,0.00
520469,2,0.00
771231,2,0.00
yuwencun,2,0.00
523294550,2,0.00
2000000000,2,0.00
forres,2,0.00
nuie,2,0.00
00710,2,0.00
wangyuliang,2,0.00
152326,2,0.00
88379734,2,0.00
0plm,2,0.00
72010,2,0.00
yuerlove,2,0.00
245589628,2,0.00
7506137,2,0.00
101525,2,0.00
tangjinyuan,2,0.00
198402,2,0.00
tyhtyh,2,0.00
253237723,2,0.00
lxh90101,2,0.00
628101,2,0.00
jrk,2,0.00
guyy,2,0.00
xemey,2,0.00
20091212,2,0.00
shaoxiong,2,0.00
woaicy,2,0.00
wangzhenyan,2,0.00
941514,2,0.00
415482487,2,0.00
19790926,2,0.00
xiaotu,2,0.00
8704,2,0.00
1137411,2,0.00
3298175,2,0.00
yanlili,2,0.00
shiyimin,2,0.00
cnooc,2,0.00
wangjia0425,2,0.00
172635,2,0.00
azmn,2,0.00
447480305,2,0.00
27004712,2,0.00
kongxd,2,0.00
linyiqun,2,0.00
lujiao,2,0.00
wohuihaohaode,2,0.00
ajtw,2,0.00
07272123,2,0.00
downtest,2,0.00
throne,2,0.00
1987126,2,0.00
1987221,2,0.00
742784271,2,0.00
baoqixiaoyu,2,0.00
850530,2,0.00
zxxzxx,2,0.00
462388463,2,0.00
rml,2,0.00
tangbn,2,0.00
oyo,2,0.00
chenkangzhuang,2,0.00
zhangjc,2,0.00
cotis,2,0.00
199007,2,0.00
86304316,2,0.00
3871555,2,0.00
wangmin3871555,2,0.00
546570226,2,0.00
8091602,2,0.00
suncy,2,0.00
441424,2,0.00
zhangzhifu,2,0.00
359121504,2,0.00
458844984,2,0.00
jielun,2,0.00
wanglianmeng,2,0.00
810228,2,0.00
88888666,2,0.00
817159,2,0.00
louyang,2,0.00
gongna,2,0.00
zzyifan,2,0.00
emory,2,0.00
820115,2,0.00
heon,2,0.00
linchhero,2,0.00
wuxzh,2,0.00
sipo,2,0.00
kings60321,2,0.00
60321,2,0.00
fjfjfj,2,0.00
daimingke,2,0.00
513277453,2,0.00
6633977,2,0.00
306306306,2,0.00
ymjw,2,0.00
jsjjsj,2,0.00
39320084,2,0.00
asdasdas,2,0.00
aoshi,2,0.00
zhenchao,2,0.00
425327256,2,0.00
wumingming,2,0.00
liumm,2,0.00
823900042,2,0.00
lani,2,0.00
1122345,2,0.00
zoushuai,2,0.00
sjwang,2,0.00
pswarfound,2,0.00
