token,weighted_count,coverage_percent
cutey,1.00,0.0002
0329,1.00,0.0002
amalynn,1.00,0.0002
car,1.00,0.0002
mandel,1.00,0.0002
galslp,1.00,0.0002
asal22,1.00,0.0002
asal,1.00,0.0002
kellie,1.00,0.0002
maudebuffalo,1.00,0.0002
beli,1.00,0.0002
beli23,1.00,0.0002
cornastone,1.00,0.0002
herotness,1.00,0.0002
heidi,1.00,0.0002
mackloy,1.00,0.0002
trampoline,1.00,0.0002
willey,1.00,0.0002
weanswer,1.00,0.0002
psw6770,1.00,0.0002
psw,1.00,0.0002
6770,1.00,0.0002
meridyth,1.00,0.0002
0182,1.00,0.0002
610,1.00,0.0002
rita,1.00,0.0002
tammyr,1.00,0.0002
tammyr112,1.00,0.0002
67119,1.00,0.0002
trina,1.00,0.0002
manutdfc,1.00,0.0002
manutdfc13,1.00,0.0002
hersheys,1.00,0.0002
shimogi,1.00,0.0002
ritarod,1.00,0.0002
flaminscents,1.00,0.0002
spam,1.00,0.0002
jtre,1.00,0.0002
12272,1.00,0.0002
gemini,1.00,0.0002
1724,1.00,0.0002
parsons,1.00,0.0002
jwgio,1.00,0.0002
84120,1.00,0.0002
seobook,1.00,0.0002
tarheeljosh,1.00,0.0002
andymoni,1.00,0.0002
mecca,1.00,0.0002
brich,1.00,0.0002
kellymbash,1.00,0.0002
shweta,1.00,0.0002
toha,1.00,0.0002
karenvines,1.00,0.0002
edwards,1.00,0.0002
aloha,1.00,0.0002
jazz2222,1.00,0.0002
sconesj,1.00,0.0002
stevenson,1.00,0.0002
moelove,1.00,0.0002
mcrayeps,1.00,0.0002
thunda,1.00,0.0002
clpo,1.00,0.0002
1200,1.00,0.0002
swavey,1.00,0.0002
milledge,1.00,0.0002
effcu,1.00,0.0002
yc,1.00,0.0002
kiloinvegas,1.00,0.0002
susant,1.00,0.0002
jpsales,1.00,0.0002
jpsales2,1.00,0.0002
momo,1.00,0.0002
worship,1.00,0.0002
sparya,1.00,0.0002
fishnet,1.00,0.0002
inayah,1.00,0.0002
jeff-st,1.00,0.0002
amyjo,1.00,0.0002
prudolph,1.00,0.0002
prudolph5,1.00,0.0002
neetanair,1.00,0.0002
tubalkn,1.00,0.0002
caroline,1.00,0.0002
195,1.00,0.0002
1087,1.00,0.0002
auscar,1.00,0.0002
sonny,1.00,0.0002
darrie,1.00,0.0002
elboroom,1.00,0.0002
jalpa,1.00,0.0002
lizzie,1.00,0.0002
7078,1.00,0.0002
ahmer,1.00,0.0002
gregster,1.00,0.0002
gregster23,1.00,0.0002
qclnet,1.00,0.0002
jackiecl,1.00,0.0002
lianne,1.00,0.0002
sams,1.00,0.0002
936,1.00,0.0002
ebizcentral,1.00,0.0002
mrrogers,1.00,0.0002
kyamhe,1.00,0.0002
llrj,1.00,0.0002
golfnut,1.00,0.0002
ra,1.00,0.0002
rac60ca,1.00,0.0002
rac,1.00,0.0002
sakinlangto2,1.00,0.0002
sakinlangto,1.00,0.0002
dmg,1.00,0.0002
48708,1.00,0.0002
cloow,1.00,0.0002
8800,1.00,0.0002
bigcat,1.00,0.0002
bigcat2046,1.00,0.0002
rts,1.00,0.0002
rts1202,1.00,0.0002
twettie,1.00,0.0002
hamid,1.00,0.0002
larry-karin,1.00,0.0002
karin,1.00,0.0002
finley,1.00,0.0002
sad,1.00,0.0002
daytripper,1.00,0.0002
xmlsino,1.00,0.0002
xmlsino1gr8,1.00,0.0002
1gr,1.00,0.0002
lori1313,1.00,0.0002
lori,1.00,0.0002
042403,1.00,0.0002
svetik,1.00,0.0002
aamjaay,1.00,0.0002
maimone,1.00,0.0002
489,1.00,0.0002
jjg,1.00,0.0002
njspears,1.00,0.0002
shankins,1.00,0.0002
meeko,1.00,0.0002
rycho,1.00,0.0002
greenculture,1.00,0.0002
6180,1.00,0.0002
murphy,1.00,0.0002
845495,1.00,0.0002
lpr265,1.00,0.0002
lpr,1.00,0.0002
kidmoney,1.00,0.0002
111649,1.00,0.0002
aggie,1.00,0.0002
misslady,1.00,0.0002
558,1.00,0.0002
starfire558,1.00,0.0002
starfire,1.00,0.0002
wachilla,1.00,0.0002
mymy,1.00,0.0002
mymy9,1.00,0.0002
sweets,1.00,0.0002
nnsb75,1.00,0.0002
nnsb,1.00,0.0002
rullmar,1.00,0.0002
tetott,1.00,0.0002
sjsuarez,1.00,0.0002
mosaic,1.00,0.0002
0467,1.00,0.0002
1027,1.00,0.0002
sigment,1.00,0.0002
blavery25,1.00,0.0002
blavery,1.00,0.0002
sukhmani,1.00,0.0002
longthorn,1.00,0.0002
moore,1.00,0.0002
moore010,1.00,0.0002
andypurl,1.00,0.0002
48209,1.00,0.0002
jwd1964,1.00,0.0002
jwd,1.00,0.0002
splendra,1.00,0.0002
hernando,1.00,0.0002
2320,1.00,0.0002
miffy,1.00,0.0002
dineshcvc,1.00,0.0002
laneysaunt,1.00,0.0002
tyler,1.00,0.0002
nissa,1.00,0.0002
boggie,1.00,0.0002
spilleliz,1.00,0.0002
11032007,1.00,0.0002
bobtail,1.00,0.0002
leah,1.00,0.0002
whit,1.00,0.0002
whit22,1.00,0.0002
schiller,1.00,0.0002
ghmal,1.00,0.0002
usmc,1.00,0.0002
dalts85,1.00,0.0002
dalts,1.00,0.0002
rjleung,1.00,0.0002
sleestak187,1.00,0.0002
sleestak,1.00,0.0002
psycho,1.00,0.0002
dquickj,1.00,0.0002
95127,1.00,0.0002
jady,1.00,0.0002
jady33,1.00,0.0002
chawla,1.00,0.0002
kanjila,1.00,0.0002
ghetto,1.00,0.0002
onelove,1.00,0.0002
olesya,1.00,0.0002
star333,1.00,0.0002
01089,1.00,0.0002
919,1.00,0.0002
romanf,1.00,0.0002
peek,1.00,0.0002
ritimo,1.00,0.0002
press,1.00,0.0002
2032,1.00,0.0002
jessi,1.00,0.0002
senescence,1.00,0.0002
432545,1.00,0.0002
stevens5,1.00,0.0002
rwolf,1.00,0.0002
scotland,1.00,0.0002
gossippress,1.00,0.0002
klm07,1.00,0.0002
klm,1.00,0.0002
418,1.00,0.0002
jonesj,1.00,0.0002
jonesj64,1.00,0.0002
card,1.00,0.0002
jeani,1.00,0.0002
jeani57,1.00,0.0002
gittner,1.00,0.0002
sexylexy,1.00,0.0002
1811,1.00,0.0002
sarangi,1.00,0.0002
accuclaim,1.00,0.0002
jenn,1.00,0.0002
samba,1.00,0.0002
eshabob,1.00,0.0002
mmrabino,1.00,0.0002
mathematics,1.00,0.0002
carmel,1.00,0.0002
1870,1.00,0.0002
kamlesh,1.00,0.0002
kreekilo,1.00,0.0002
student,1.00,0.0002
wedge,1.00,0.0002
2478,1.00,0.0002
ken,1.00,0.0002
kyrea,1.00,0.0002
dennis,1.00,0.0002
1747,1.00,0.0002
snpdev,1.00,0.0002
jsky,1.00,0.0002
kshitize,1.00,0.0002
taycha,1.00,0.0002
anointed,1.00,0.0002
stjames,1.00,0.0002
hbm,1.00,0.0002
alix,1.00,0.0002
dreadcowe,1.00,0.0002
pchadri,1.00,0.0002
splinter,1.00,0.0002
gabriel,1.00,0.0002
kunin,1.00,0.0002
dashok,1.00,0.0002
9224,1.00,0.0002
zach,1.00,0.0002
publicity,1.00,0.0002
baggie,1.00,0.0002
dipta,1.00,0.0002
ksr,1.00,0.0002
reyna,1.00,0.0002
susanagarza,1.00,0.0002
3lab,1.00,0.0002
kathryn,1.00,0.0002
pjw,1.00,0.0002
ds,1.00,0.0002
jacquelyn,1.00,0.0002
pocketholes,1.00,0.0002
encourage,1.00,0.0002
sshoots,1.00,0.0002
wongwongeric,1.00,0.0002
casteel,1.00,0.0002
catties,1.00,0.0002
twoblues,1.00,0.0002
gloria,1.00,0.0002
aletras,1.00,0.0002
derbydoctor,1.00,0.0002
deathcity,1.00,0.0002
babyxue,1.00,0.0002
1722,1.00,0.0002
may345,1.00,0.0002
trusthim,1.00,0.0002
trusthim1st,1.00,0.0002
jwk,1.00,0.0002
juriscape,1.00,0.0002
yogaphuket,1.00,0.0002
mamta,1.00,0.0002
metabolism,1.00,0.0002
pallu,1.00,0.0002
alexandre,1.00,0.0002
3807,1.00,0.0002
cashidea,1.00,0.0002
kdl,1.00,0.0002
sari,1.00,0.0002
gomez,1.00,0.0002
rexlenon,1.00,0.0002
sancyber,1.00,0.0002
anahid,1.00,0.0002
lighti,1.00,0.0002
izimi,1.00,0.0002
laci,1.00,0.0002
asna,1.00,0.0002
kovercomes,1.00,0.0002
get,1.00,0.0002
elegance,1.00,0.0002
crissa,1.00,0.0002
0626,1.00,0.0002
justinah,1.00,0.0002
jude,1.00,0.0002
winnie,1.00,0.0002
camroo,1.00,0.0002
89632147,1.00,0.0002
19102,1.00,0.0002
hmb,1.00,0.0002
hmb19102,1.00,0.0002
jondog,1.00,0.0002
jondog338,1.00,0.0002
kardawg,1.00,0.0002
791,1.00,0.0002
kardawg791,1.00,0.0002
7857,1.00,0.0002
dino,1.00,0.0002
lmo,1.00,0.0002
fairvote,1.00,0.0002
2582,1.00,0.0002
nkgonline,1.00,0.0002
suckit,1.00,0.0002
babypaws,1.00,0.0002
graeme,1.00,0.0002
toddpelow,1.00,0.0002
braksus,1.00,0.0002
ymerri,1.00,0.0002
tdb,1.00,0.0002
mlelcar,1.00,0.0002
lmijic,1.00,0.0002
musicmon101,1.00,0.0002
musicmon,1.00,0.0002
8669,1.00,0.0002
poohangel,1.00,0.0002
277,1.00,0.0002
aldiery,1.00,0.0002
zepolt,1.00,0.0002
passion,1.00,0.0002
hamptonu,1.00,0.0002
ttlbliss,1.00,0.0002
firejin,1.00,0.0002
firejin3,1.00,0.0002
fran,1.00,0.0002
bobb1969,1.00,0.0002
xfrispx,1.00,0.0002
morris,1.00,0.0002
jhw,1.00,0.0002
glamdna,1.00,0.0002
epd712,1.00,0.0002
lamemes,1.00,0.0002
ajtjal,1.00,0.0002
crazypellas,1.00,0.0002
510,1.00,0.0002
6565,1.00,0.0002
evan,1.00,0.0002
tmonetti,1.00,0.0002
vibles,1.00,0.0002
jdbake,1.00,0.0002
2287,1.00,0.0002
52527,1.00,0.0002
8186,1.00,0.0002
bnj,1.00,0.0002
rocha,1.00,0.0002
korreyta,1.00,0.0002
bogart,1.00,0.0002
7812,1.00,0.0002
1489,1.00,0.0002
eunice,1.00,0.0002
skix,1.00,0.0002
starlove,1.00,0.0002
ent,1.00,0.0002
1116ent,1.00,0.0002
rfm,1.00,0.0002
noel,1.00,0.0002
32109,1.00,0.0002
wallst,1.00,0.0002
havana,1.00,0.0002
msopr,1.00,0.0002
girish,1.00,0.0002
techfax,1.00,0.0002
taguig,1.00,0.0002
khumalo,1.00,0.0002
spd142,1.00,0.0002
spd,1.00,0.0002
sunmoon2009,1.00,0.0002
sunmoon,1.00,0.0002
0479,1.00,0.0002
vijaya,1.00,0.0002
pinkmemo,1.00,0.0002
betty,1.00,0.0002
ddd,1.00,0.0002
jaytrez,1.00,0.0002
gianna,1.00,0.0002
evanmech,1.00,0.0002
wpst,1.00,0.0002
warwick,1.00,0.0002
junetic,1.00,0.0002
blacq,1.00,0.0002
nfz,1.00,0.0002
f18nfz,1.00,0.0002
samart,1.00,0.0002
tigertom,1.00,0.0002
isolvum,1.00,0.0002
jesussaves,1.00,0.0002
jersey,1.00,0.0002
63401,1.00,0.0002
lidong,1.00,0.0002
magic,1.00,0.0002
gautam,1.00,0.0002
tipmane777,1.00,0.0002
tipmane,1.00,0.0002
bablu,1.00,0.0002
duffel24,1.00,0.0002
duffel,1.00,0.0002
mason,1.00,0.0002
2713,1.00,0.0002
tamonan,1.00,0.0002
41593,1.00,0.0002
xxbufuxx,1.00,0.0002
xxbufuxx21,1.00,0.0002
cyndiheart,1.00,0.0002
tlr,1.00,0.0002
tlr334,1.00,0.0002
tymoski,1.00,0.0002
2113,1.00,0.0002
kpty,1.00,0.0002
kpty44,1.00,0.0002
tesa,1.00,0.0002
nureen,1.00,0.0002
cappucino,1.00,0.0002
mel999,1.00,0.0002
mcilmoyle,1.00,0.0002
keltrehai,1.00,0.0002
lilian,1.00,0.0002
fastpitchonline,1.00,0.0002
bob1,1.00,0.0002
burtonk,1.00,0.0002
burtonk2,1.00,0.0002
7472,1.00,0.0002
akumar,1.00,0.0002
juljos,1.00,0.0002
seetha,1.00,0.0002
raines,1.00,0.0002
8970,1.00,0.0002
orange,1.00,0.0002
7787,1.00,0.0002
mariegvh,1.00,0.0002
kimtooks,1.00,0.0002
design,1.00,0.0002
mpenell,1.00,0.0002
jberndt,1.00,0.0002
ather,1.00,0.0002
ollie,1.00,0.0002
43881,1.00,0.0002
kcsmarketing,1.00,0.0002
12959,1.00,0.0002
rmt12959,1.00,0.0002
rmt,1.00,0.0002
electrician3,1.00,0.0002
electrician,1.00,0.0002
65021,1.00,0.0002
matosgnn,1.00,0.0002
matosgnn65021,1.00,0.0002
elearners,1.00,0.0002
urguddu,1.00,0.0002
jjr,1.00,0.0002
vondur,1.00,0.0002
cpack,1.00,0.0002
smlwalker,1.00,0.0002
row,1.00,0.0002
tjdude,1.00,0.0002
guess,1.00,0.0002
2970,1.00,0.0002
13087,1.00,0.0002
forbes,1.00,0.0002
rasheed,1.00,0.0002
jocelyn,1.00,0.0002
pek,1.00,0.0002
jaxgrl,1.00,0.0002
roger1990,1.00,0.0002
roger,1.00,0.0002
malachite,1.00,0.0002
tsherrer,1.00,0.0002
013084,1.00,0.0002
kurena,1.00,0.0002
dorn,1.00,0.0002
7464,1.00,0.0002
munirmoosa,1.00,0.0002
darkness,1.00,0.0002
auroin,1.00,0.0002
medstudents,1.00,0.0002
medstudents4,1.00,0.0002
pbled,1.00,0.0002
1047,1.00,0.0002
maxsdead,1.00,0.0002
kaneshia,1.00,0.0002
bgh,1.00,0.0002
isania,1.00,0.0002
inkworm,1.00,0.0002
viking,1.00,0.0002
tijana,1.00,0.0002
chill,1.00,0.0002
srjbdl,1.00,0.0002
ateich,1.00,0.0002
netizen,1.00,0.0002
isndata,1.00,0.0002
bhabhi420,1.00,0.0002
bhabhi,1.00,0.0002
neonotion,1.00,0.0002
tanjil,1.00,0.0002
andray,1.00,0.0002
addie,1.00,0.0002
deedee,1.00,0.0002
vanliew,1.00,0.0002
4510,1.00,0.0002
apollo,1.00,0.0002
wolf,1.00,0.0002
shanee,1.00,0.0002
discovery,1.00,0.0002
0069,1.00,0.0002
cal0069,1.00,0.0002
cal,1.00,0.0002
24360,1.00,0.0002
glazer,1.00,0.0002
lazer,1.00,0.0002
rups,1.00,0.0002
nefa,1.00,0.0002
2thgen,1.00,0.0002
alimah,1.00,0.0002
airingitout,1.00,0.0002
ericbaldy,1.00,0.0002
amyj,1.00,0.0002
bev,1.00,0.0002
milo,1.00,0.0002
verna,1.00,0.0002
trapper,1.00,0.0002
8907,1.00,0.0002
sakib,1.00,0.0002
wooloo,1.00,0.0002
gitonga,1.00,0.0002
jen5770,1.00,0.0002
salil,1.00,0.0002
wientzen,1.00,0.0002
swineflu,1.00,0.0002
roxana,1.00,0.0002
3125,1.00,0.0002
radford,1.00,0.0002
whitney,1.00,0.0002
sope,1.00,0.0002
elvia,1.00,0.0002
9530,1.00,0.0002
xxxx9530,1.00,0.0002
xxxx,1.00,0.0002
simpsons,1.00,0.0002
raai123,1.00,0.0002
raai,1.00,0.0002
sabra,1.00,0.0002
catdog2,1.00,0.0002
divine,1.00,0.0002
chouse,1.00,0.0002
chouse335,1.00,0.0002
shullsfcs,1.00,0.0002
lifesquire,1.00,0.0002
artrain,1.00,0.0002
rimple,1.00,0.0002
ritahp,1.00,0.0002
pokeybear,1.00,0.0002
pintail,1.00,0.0002
72390,1.00,0.0002
chapal,1.00,0.0002
bobsmommy,1.00,0.0002
carolwork,1.00,0.0002
marianarusea,1.00,0.0002
combs1234,1.00,0.0002
combs,1.00,0.0002
24292700,1.00,0.0002
search,1.00,0.0002
harlem,1.00,0.0002
piplu,1.00,0.0002
enbetron,1.00,0.0002
breska,1.00,0.0002
wqrachan,1.00,0.0002
river,1.00,0.0002
jonny,1.00,0.0002
devireddy,1.00,0.0002
namaste,1.00,0.0002
shaunik,1.00,0.0002
wallis,1.00,0.0002
icebaby,1.00,0.0002
sage,1.00,0.0002
20297,1.00,0.0002
dna,1.00,0.0002
redho,1.00,0.0002
amaria,1.00,0.0002
swaroopa,1.00,0.0002
rande,1.00,0.0002
rande417,1.00,0.0002
freewebspace,1.00,0.0002
senaai,1.00,0.0002
fancyface,1.00,0.0002
girgrem,1.00,0.0002
mureen,1.00,0.0002
tinas,1.00,0.0002
tinas824,1.00,0.0002
aroshsky,1.00,0.0002
dupka,1.00,0.0002
chawley41,1.00,0.0002
chawley,1.00,0.0002
sharpideas,1.00,0.0002
cnelindia,1.00,0.0002
jyc,1.00,0.0002
sbrannett,1.00,0.0002
langrell,1.00,0.0002
standingstill,1.00,0.0002
25633,1.00,0.0002
cowboy29,1.00,0.0002
5584,1.00,0.0002
arion7273,1.00,0.0002
arion,1.00,0.0002
19861022,1.00,0.0002
2800,1.00,0.0002
acquamedia,1.00,0.0002
tcglen,1.00,0.0002
lovergirl,1.00,0.0002
jgemma,1.00,0.0002
jakers,1.00,0.0002
pseudo,1.00,0.0002
panda,1.00,0.0002
johanna,1.00,0.0002
shabbystitches,1.00,0.0002
colin,1.00,0.0002
kirsty,1.00,0.0002
2072,1.00,0.0002
nene,1.00,0.0002
nene1394,1.00,0.0002
calfinder,1.00,0.0002
rhondak,1.00,0.0002
wendykorn,1.00,0.0002
tashneem,1.00,0.0002
lemohall,1.00,0.0002
giovi,1.00,0.0002
bennguyen,1.00,0.0002
riyanto,1.00,0.0002
tarkan,1.00,0.0002
betoav,1.00,0.0002
skt,1.00,0.0002
4a,1.00,0.0002
mulv,1.00,0.0002
4456,1.00,0.0002
tamba,1.00,0.0002
bhang,1.00,0.0002
nurseangie,1.00,0.0002
jcm,1.00,0.0002
ashlin,1.00,0.0002
1890,1.00,0.0002
agape,1.00,0.0002
21202,1.00,0.0002
doris214,1.00,0.0002
doris,1.00,0.0002
121956,1.00,0.0002
dimyplenpip,1.00,0.0002
juni,1.00,0.0002
gallagher,1.00,0.0002
eminem,1.00,0.0002
watson,1.00,0.0002
hoss265,1.00,0.0002
hoss,1.00,0.0002
0317,1.00,0.0002
katydob,1.00,0.0002
jamesrsnbm,1.00,0.0002
bcs321,1.00,0.0002
bcs,1.00,0.0002
2749390,1.00,0.0002
328,1.00,0.0002
louise568,1.00,0.0002
3026,1.00,0.0002
aserpo42,1.00,0.0002
aserpo,1.00,0.0002
lara,1.00,0.0002
bugsvj,1.00,0.0002
wamego,1.00,0.0002
ttcros,1.00,0.0002
art,1.00,0.0002
supermegamom,1.00,0.0002
elize,1.00,0.0002
legolacey,1.00,0.0002
598,1.00,0.0002
texmex,1.00,0.0002
problems,1.00,0.0002
nertila,1.00,0.0002
twins,1.00,0.0002
fionn,1.00,0.0002
sales1,1.00,0.0002
domodood,1.00,0.0002
52561,1.00,0.0002
bobj73,1.00,0.0002
bobj,1.00,0.0002
igk,1.00,0.0002
kennedee,1.00,0.0002
254,1.00,0.0002
connie254,1.00,0.0002
1683,1.00,0.0002
kalman,1.00,0.0002
2335,1.00,0.0002
dbodziak,1.00,0.0002
gracia,1.00,0.0002
spivey,1.00,0.0002
tasleem,1.00,0.0002
tedue01,1.00,0.0002
tedue,1.00,0.0002
492,1.00,0.0002
butler,1.00,0.0002
advertising,1.00,0.0002
nharding,1.00,0.0002
vanakkam,1.00,0.0002
mateo,1.00,0.0002
naked,1.00,0.0002
slimwide,1.00,0.0002
chaz,1.00,0.0002
yourmom,1.00,0.0002
4276,1.00,0.0002
kkgreen,1.00,0.0002
dadicka,1.00,0.0002
meh,1.00,0.0002
xeal,1.00,0.0002
gregg,1.00,0.0002
chab,1.00,0.0002
chab1732,1.00,0.0002
1732,1.00,0.0002
michela,1.00,0.0002
emir,1.00,0.0002
rvbolisay,1.00,0.0002
piilanikapua,1.00,0.0002
stuphillis,1.00,0.0002
tonya,1.00,0.0002
chiewc,1.00,0.0002
mwatokelwapo,1.00,0.0002
windway,1.00,0.0002
witch,1.00,0.0002
2134,1.00,0.0002
3tt,1.00,0.0002
wispers,1.00,0.0002
hippie,1.00,0.0002
alisonwalker,1.00,0.0002
sandrajada,1.00,0.0002
ewjames,1.00,0.0002
brice,1.00,0.0002
maxmin,1.00,0.0002
4jesus,1.00,0.0002
sharath,1.00,0.0002
maren,1.00,0.0002
jef,1.00,0.0002
jef2003,1.00,0.0002
delta,1.00,0.0002
myralove,1.00,0.0002
drdray,1.00,0.0002
6971,1.00,0.0002
lashonne,1.00,0.0002
greenbay,1.00,0.0002
yhan,1.00,0.0002
jamesleo,1.00,0.0002
jamesleo05,1.00,0.0002
jkgolfman,1.00,0.0002
manj,1.00,0.0002
multivu,1.00,0.0002
7261,1.00,0.0002
484,1.00,0.0002
johns,1.00,0.0002
johns484,1.00,0.0002
6368,1.00,0.0002
jamali,1.00,0.0002
irenebb,1.00,0.0002
jaiku,1.00,0.0002
mukaloo,1.00,0.0002
monkey,1.00,0.0002
doden,1.00,0.0002
mirg,1.00,0.0002
premretire,1.00,0.0002
antiskela,1.00,0.0002
antiskela2112,1.00,0.0002
mchaney,1.00,0.0002
8312,1.00,0.0002
malitia,1.00,0.0002
international,1.00,0.0002
sdkuchek,1.00,0.0002
comoms,1.00,0.0002
hehas100,1.00,0.0002
hehas,1.00,0.0002
mariot,1.00,0.0002
aslam,1.00,0.0002
responselink,1.00,0.0002
dynamic,1.00,0.0002
tolik,1.00,0.0002
tolik008,1.00,0.0002
manunited,1.00,0.0002
seattlesports,1.00,0.0002
wildthing,1.00,0.0002
wildthing77k,1.00,0.0002
freedom,1.00,0.0002
nikstr,1.00,0.0002
0548,1.00,0.0002
alnutoo,1.00,0.0002
podunk,1.00,0.0002
patriciar,1.00,0.0002
teri412002,1.00,0.0002
412002,1.00,0.0002
debigirl,1.00,0.0002
sysconn,1.00,0.0002
0311,1.00,0.0002
cleofluffy,1.00,0.0002
bondservant,1.00,0.0002
sreynga,1.00,0.0002
webcart,1.00,0.0002
gala,1.00,0.0002
1821,1.00,0.0002
v1,1.00,0.0002
6969,1.00,0.0002
ameer,1.00,0.0002
pscorral,1.00,0.0002
3722,1.00,0.0002
nebula,1.00,0.0002
571,1.00,0.0002
praco,1.00,0.0002
msquisha,1.00,0.0002
miked,1.00,0.0002
dsmccleary,1.00,0.0002
133,1.00,0.0002
rhung101,1.00,0.0002
rhung,1.00,0.0002
5691,1.00,0.0002
msa2,1.00,0.0002
belinda,1.00,0.0002
tokiohotel,1.00,0.0002
ucstrategies,1.00,0.0002
tnb,1.00,0.0002
imajoy,1.00,0.0002
7069,1.00,0.0002
tideactive,1.00,0.0002
hansa,1.00,0.0002
squirrel,1.00,0.0002
janedoesam,1.00,0.0002
yosh,1.00,0.0002
31486,1.00,0.0002
tedynme,1.00,0.0002
stephens,1.00,0.0002
tmills,1.00,0.0002
2334,1.00,0.0002
siznon,1.00,0.0002
eagles,1.00,0.0002
eagles12,1.00,0.0002
ashramgma,1.00,0.0002
dwade,1.00,0.0002
3939,1.00,0.0002
kapoor007,1.00,0.0002
willtucker,1.00,0.0002
maplife,1.00,0.0002
saran,1.00,0.0002
shon,1.00,0.0002
gangsta,1.00,0.0002
sar,1.00,0.0002
mk,1.00,0.0002
germanos,1.00,0.0002
ekas,1.00,0.0002
math,1.00,0.0002
lovely,1.00,0.0002
0999,1.00,0.0002
shainsky,1.00,0.0002
tlp,1.00,0.0002
tator,1.00,0.0002
johnson37,1.00,0.0002
maria.johnson37,1.00,0.0002
9944,1.00,0.0002
amar9944,1.00,0.0002
deezy,1.00,0.0002
sheryle,1.00,0.0002
joeschmo,1.00,0.0002
aelita,1.00,0.0002
shanesguh,1.00,0.0002
gamegreen,1.00,0.0002
gwinn2020,1.00,0.0002
gwinn,1.00,0.0002
marqcl,1.00,0.0002
valuepipe,1.00,0.0002
pgif,1.00,0.0002
ojoin,1.00,0.0002
yelay,1.00,0.0002
eleotin,1.00,0.0002
shookey,1.00,0.0002
gifted,1.00,0.0002
wasilla99,1.00,0.0002
wasilla,1.00,0.0002
pardeep,1.00,0.0002
2019,1.00,0.0002
147224,1.00,0.0002
emrah,1.00,0.0002
hamidr,1.00,0.0002
andie,1.00,0.0002
530,1.00,0.0002
laila,1.00,0.0002
slicaza,1.00,0.0002
apeshit,1.00,0.0002
starrbuck,1.00,0.0002
bne,1.00,0.0002
har,1.00,0.0002
loner,1.00,0.0002
zirana,1.00,0.0002
8217,1.00,0.0002
erin8217,1.00,0.0002
mi,1.00,0.0002
hash,1.00,0.0002
jazzy,1.00,0.0002
murphree,1.00,0.0002
8143,1.00,0.0002
112084,1.00,0.0002
wesmaul,1.00,0.0002
kishigaki,1.00,0.0002
dgibson,1.00,0.0002
jml,1.00,0.0002
twohig,1.00,0.0002
colba,1.00,0.0002
7788,1.00,0.0002
double8,1.00,0.0002
double,1.00,0.0002
gian,1.00,0.0002
serri,1.00,0.0002
serri12,1.00,0.0002
loser2,1.00,0.0002
loser,1.00,0.0002
672,1.00,0.0002
1411,1.00,0.0002
booper1411,1.00,0.0002
stef,1.00,0.0002
wynono,1.00,0.0002
0305,1.00,0.0002
5324,1.00,0.0002
brd81077,1.00,0.0002
brd,1.00,0.0002
81077,1.00,0.0002
milanka,1.00,0.0002
roses,1.00,0.0002
roses59m,1.00,0.0002
caitlyn,1.00,0.0002
1n,1.00,0.0002
dakejo,1.00,0.0002
870120,1.00,0.0002
mickster,1.00,0.0002
kavin,1.00,0.0002
mixi,1.00,0.0002
2rlacy,1.00,0.0002
journeys,1.00,0.0002
lilone,1.00,0.0002
garcia,1.00,0.0002
lsalloum,1.00,0.0002
charitybuzz,1.00,0.0002
2413,1.00,0.0002
1103,1.00,0.0002
kelvins,1.00,0.0002
costuna,1.00,0.0002
demented,1.00,0.0002
798379,1.00,0.0002
1561,1.00,0.0002
semaphore,1.00,0.0002
johnbisney,1.00,0.0002
rpeterson,1.00,0.0002
zonder,1.00,0.0002
0674,1.00,0.0002
seige,1.00,0.0002
seeknext,1.00,0.0002
earnontime,1.00,0.0002
pmc,1.00,0.0002
skipndee,1.00,0.0002
mom,1.00,0.0002
pussi,1.00,0.0002
kedogo,1.00,0.0002
qtsherry,1.00,0.0002
wesley,1.00,0.0002
namnv,1.00,0.0002
bingonut,1.00,0.0002
millie93,1.00,0.0002
millie,1.00,0.0002
gjohns35,1.00,0.0002
gjohns,1.00,0.0002
3591,1.00,0.0002
tymora,1.00,0.0002
297,1.00,0.0002
julred,1.00,0.0002
gantz,1.00,0.0002
shaira,1.00,0.0002
yasmine,1.00,0.0002
hellobay,1.00,0.0002
prsanbu,1.00,0.0002
matsuda,1.00,0.0002
beacon,1.00,0.0002
firstnight,1.00,0.0002
3950,1.00,0.0002
chel,1.00,0.0002
poop,1.00,0.0002
2628,1.00,0.0002
531,1.00,0.0002
daropo,1.00,0.0002
1522,1.00,0.0002
retaks,1.00,0.0002
tunder,1.00,0.0002
tunder05,1.00,0.0002
ekjwright,1.00,0.0002
zz,1.00,0.0002
klarapo,1.00,0.0002
oriami,1.00,0.0002
ghazania,1.00,0.0002
payoneer,1.00,0.0002
weaton36,1.00,0.0002
weaton,1.00,0.0002
jasiaus,1.00,0.0002
rayan,1.00,0.0002
vallone,1.00,0.0002
connection,1.00,0.0002
blandly,1.00,0.0002
gaildear,1.00,0.0002
margarita,1.00,0.0002
41968,1.00,0.0002
noorsham,1.00,0.0002
rad,1.00,0.0002
ilmsel,1.00,0.0002
5005,1.00,0.0002
nik,1.00,0.0002
danay,1.00,0.0002
neereid,1.00,0.0002
neereid23,1.00,0.0002
blondie,1.00,0.0002
9900,1.00,0.0002
dvbw,1.00,0.0002
dvbw9900,1.00,0.0002
cookie1960,1.00,0.0002
